date,btc
4/27/2013,128.5
4/28/2013,135.28
4/29/2013,144
4/30/2013,139.88
5/1/2013,116
5/2/2013,106.6
5/3/2013,98.06
5/4/2013,112.5
5/5/2013,116.57
5/6/2013,112
5/7/2013,110
5/8/2013,113.5
5/9/2013,112.669
5/10/2013,117.87
5/11/2013,115.576
5/12/2013,114.3
5/13/2013,117.979
5/14/2013,111.551
5/15/2013,108.95
5/16/2013,115
5/17/2013,117.62
5/18/2013,118.52
5/19/2013,118.25
5/20/2013,118.09
5/21/2013,117
5/22/2013,119.11
5/23/2013,123.83
5/24/2013,128.7
5/25/2013,128.97
5/26/2013,130.24
5/27/2013,126.25
5/28/2013,125.5
5/29/2013,130.35
5/30/2013,126.7
5/31/2013,127.9
6/1/2013,128.77
6/2/2013,123.8
6/3/2013,123.1
6/4/2013,120.43
6/5/2013,121.19
6/6/2013,119.28
6/7/2013,111.07
6/8/2013,109.13
6/9/2013,100
6/10/2013,104.18
6/11/2013,107.36
6/12/2013,106.68
6/13/2013,102
6/14/2013,99
6/15/2013,99.42
6/16/2013,99
6/17/2013,100.49
6/18/2013,104.12
6/19/2013,104.99
6/20/2013,104.55
6/21/2013,101.29
6/22/2013,100.23
6/23/2013,100.4
6/24/2013,98.68
6/25/2013,97.58
6/26/2013,98.69
6/27/2013,96.31
6/28/2013,89.79
6/29/2013,88.8
6/30/2013,89.55
7/1/2013,83.5
7/2/2013,87.68
7/3/2013,77.402
7/4/2013,79.4
7/5/2013,67
7/6/2013,66.12
7/7/2013,73.98
7/8/2013,74.35
7/9/2013,74.98
7/10/2013,86.12
7/11/2013,88
7/12/2013,90.2
7/13/2013,91.6
7/14/2013,90.07
7/15/2013,93.94
7/16/2013,91.6
7/17/2013,91.48
7/18/2013,85.27
7/19/2013,86.53
7/20/2013,85
7/21/2013,85.79
7/22/2013,85.6
7/23/2013,86.95
7/24/2013,88.36
7/25/2013,90.24
7/26/2013,89.95
7/27/2013,88.02
7/28/2013,92.46
7/29/2013,93.37
7/30/2013,96.5
7/31/2013,98.18
8/1/2013,96.55
8/2/2013,95.85
8/3/2013,95.49
8/4/2013,96.38
8/5/2013,97.4
8/6/2013,97.8
8/7/2013,97
8/8/2013,94.25
8/9/2013,92.28
8/10/2013,93.51
8/11/2013,94
8/12/2013,95.35
8/13/2013,98.15
8/14/2013,99.16
8/15/2013,98.08
8/16/2013,98.3
8/17/2013,99.4
8/18/2013,99.25
8/19/2013,102.6
8/20/2013,104.94
8/21/2013,110.43
8/22/2013,109.14
8/23/2013,107.89
8/24/2013,108.3
8/25/2013,113.11
8/26/2013,112.45
8/27/2013,117.7
8/28/2013,118
8/29/2013,118.5
8/30/2013,125
8/31/2013,127.8
9/1/2013,130.41
9/2/2013,129.45
9/3/2013,129.18
9/4/2013,122.24
9/5/2013,122.63
9/6/2013,116.82
9/7/2013,119.76
9/8/2013,117.98
9/9/2013,121.5
9/10/2013,122.07
9/11/2013,126.34
9/12/2013,126.63
9/13/2013,127.18
9/14/2013,124.5
9/15/2013,125.06
9/16/2013,125.68
9/17/2013,127.13
9/18/2013,126.9
9/19/2013,124.38
9/20/2013,122.91
9/21/2013,123.64
9/22/2013,122.97
9/23/2013,122.75
9/24/2013,124.09
9/25/2013,123.75
9/26/2013,125.02
9/27/2013,126.48
9/28/2013,127
9/29/2013,126.76
9/30/2013,125.95
10/1/2013,127.49
10/2/2013,103.85
10/3/2013,117.87
10/4/2013,121.94
10/5/2013,121.62
10/6/2013,122.49
10/7/2013,123.48
10/8/2013,124.11
10/9/2013,126.00071
10/10/2013,126.1
10/11/2013,126.9
10/12/2013,127.8
10/13/2013,132.86
10/14/2013,135.4
10/15/2013,144.39
10/16/2013,137.56
10/17/2013,143.94
10/18/2013,153
10/19/2013,166.5
10/20/2013,166.89
10/21/2013,180.37
10/22/2013,191.75
10/23/2013,203.99
10/24/2013,193.72
10/25/2013,187.5
10/26/2013,179.55
10/27/2013,196.7
10/28/2013,196.01
10/29/2013,204.69
10/30/2013,198.74
10/31/2013,202.52
11/1/2013,201.754999
11/2/2013,204.94
11/3/2013,213.8975
11/4/2013,226.5049999
11/5/2013,242.88
11/6/2013,263.24
11/7/2013,291
11/8/2013,333.9
11/9/2013,338.22941
11/10/2013,325
11/11/2013,344.27
11/12/2013,354.96
11/13/2013,399.9
11/14/2013,413.53499
11/15/2013,412
11/16/2013,434.52
11/17/2013,492
11/18/2013,689
11/19/2013,537
11/20/2013,599.12
11/21/2013,730
11/22/2013,806.3
11/23/2013,847.666666
11/24/2013,815
