,,,,,,,,,<=10,>=90
,,,,,,,,,1.28%,4.53%
value,timestamp,mean,standard Devia,Normal Distribution ,,,,,,
25,2022/2/21,45.63556457,22.67124832,0.011628737,,,¡¢,,,
27,2022/2/20,,,0.012552057,,,,,,
25,2022/2/19,,,0.011628737,,,,,,
30,2022/2/18,,,0.013872388,,-2.1,-1.974056893,,,
52,2022/2/17,,,0.016916938,,-1.4,13.89581693,,,
51,2022/2/16,,,0.017111061,,-0.7,29.76569075,,,
46,2022/2/15,,,0.017594564,,mean,45.63556457,,,
46,2022/2/14,,,0.017594564,,0.7,61.50543839,,,
44,2022/2/13,,,0.017551105,,1.4,77.37531221,,,
44,2022/2/12,,,0.017551105,,2.1,93.24518603,,,
50,2022/2/11,,,0.017273771,,,,,,
50,2022/2/10,,,0.017273771,,,,,,
54,2022/2/9,,,0.016439043,,,,,,
48,2022/2/8,,,0.017501398,,,,,,
45,2022/2/7,,,0.017589925,,,,,,
37,2022/2/6,,,0.016365498,,,,,,
33,2022/2/5,,,0.015065479,,,,,,
20,2022/2/4,,,0.009285174,,,,,,
20,2022/2/3,,,0.009285174,,,,,,
28,2022/2/2,,,0.013002852,,,,,,
26,2022/2/1,,,0.012093338,,,,,,
20,2022/1/31,,,0.009285174,,,,,,
29,2022/1/30,,,0.013443656,,,,,,
24,2022/1/29,,,0.011160251,,,,,,
24,2022/1/28,,,0.011160251,,,,,,
20,2022/1/27,,,0.009285174,,,,,,
23,2022/1/26,,,0.010689821,,,,,,
12,2022/1/25,,,0.005854157,,,,,,
13,2022/1/24,,,0.006243993,,,,,,
11,2022/1/23,,,0.005477991,,,,,,
13,2022/1/22,,,0.006243993,,,,,,
19,2022/1/21,,,0.008824837,,,,,,
24,2022/1/20,,,0.011160251,,,,,,
24,2022/1/19,,,0.011160251,,,,,,
24,2022/1/18,,,0.011160251,,,,,,
22,2022/1/17,,,0.010219318,,,,,,
21,2022/1/16,,,0.009750535,,,,,,
23,2022/1/15,,,0.010689821,,,,,,
21,2022/1/14,,,0.009750535,,,,,,
21,2022/1/13,,,0.009750535,,,,,,
22,2022/1/12,,,0.010219318,,,,,,
21,2022/1/11,,,0.009750535,,,,,,
23,2022/1/10,,,0.010689821,,,,,,
23,2022/1/9,,,0.010689821,,,,,,
10,2022/1/8,,,0.005116034,,,,,,
18,2022/1/7,,,0.008371019,,,,,,
15,2022/1/6,,,0.007061934,,,,,,
24,2022/1/5,,,0.011160251,,,,,,
23,2022/1/4,,,0.010689821,,,,,,
29,2022/1/3,,,0.013443656,,,,,,
29,2022/1/2,,,0.013443656,,,,,,
21,2022/1/1,,,0.009750535,,,,,,
28,2021/12/31,,,0.013002852,,,,,,
22,2021/12/30,,,0.010219318,,,,,,
27,2021/12/29,,,0.012552057,,,,,,
41,2021/12/28,,,0.017232816,,,,,,
40,2021/12/27,,,0.017061489,,,,,,
37,2021/12/26,,,0.016365498,,,,,,
39,2021/12/25,,,0.016859033,,,,,,
41,2021/12/24,,,0.017232816,,,,,,
34,2021/12/23,,,0.015425419,,,,,,
45,2021/12/22,,,0.017589925,,,,,,
27,2021/12/21,,,0.012552057,,,,,,
25,2021/12/20,,,0.011628737,,,,,,
29,2021/12/19,,,0.013443656,,,,,,
24,2021/12/18,,,0.011160251,,,,,,
23,2021/12/17,,,0.010689821,,,,,,
29,2021/12/16,,,0.013443656,,,,,,
28,2021/12/15,,,0.013002852,,,,,,
21,2021/12/14,,,0.009750535,,,,,,
28,2021/12/13,,,0.013002852,,,,,,
27,2021/12/12,,,0.012552057,,,,,,
16,2021/12/11,,,0.007488362,,,,,,
24,2021/12/10,,,0.011160251,,,,,,
29,2021/12/9,,,0.013443656,,,,,,
28,2021/12/8,,,0.013002852,,,,,,
25,2021/12/7,,,0.011628737,,,,,,
16,2021/12/6,,,0.007488362,,,,,,
18,2021/12/5,,,0.008371019,,,,,,
25,2021/12/4,,,0.011628737,,,,,,
31,2021/12/3,,,0.014286968,,,,,,
32,2021/12/2,,,0.01468534,,,,,,
34,2021/12/1,,,0.015425419,,,,,,
40,2021/11/30,,,0.017061489,,,,,,
33,2021/11/29,,,0.015065479,,,,,,
27,2021/11/28,,,0.012552057,,,,,,
21,2021/11/27,,,0.009750535,,,,,,
47,2021/11/26,,,0.017564998,,,,,,
32,2021/11/25,,,0.01468534,,,,,,
42,2021/11/24,,,0.017372032,,,,,,
33,2021/11/23,,,0.015065479,,,,,,
50,2021/11/22,,,0.017273771,,,,,,
49,2021/11/21,,,0.017404134,,,,,,
